Familia,Modelo,Horizonte,Sentimiento,Acc,B_Acc,Precision,Recall,F1,ROC_AUC,Conf_Matrix
DL,LSTM_32,5d,BASE,0.5644859813084112,0.5,0.5644859813084112,1.0,0.7216248506571087,0.5088252849387488,"[[  0 233]
 [  0 302]]"
DL,LSTM_64,5d,BASE,0.5644859813084112,0.5,0.5644859813084112,1.0,0.7216248506571087,0.504433959582753,"[[  0 233]
 [  0 302]]"
