Familia,Modelo,Horizonte,Sentimiento,Acc,B_Acc,Precision,Recall,F1,ROC_AUC,Conf_Matrix
ML,Dummy_MostFreq,1d,SIMPLE,0.4944852941176471,0.5,0.4944852941176471,1.0,0.6617466174661747,0.5,[[  0 275]  [  0 269]]
ML,Logistic_Reg,1d,SIMPLE,0.48713235294117646,0.4862791483609327,0.4782608695652174,0.40892193308550184,0.4408817635270541,0.4801892531260561,[[155 120]  [159 110]]
ML,Random_Forest,1d,SIMPLE,0.5,0.5023318688746198,0.49612403100775193,0.7137546468401487,0.5853658536585366,0.5144981412639406,[[ 80 195]  [ 77 192]]
ML,Hist_GB,1d,SIMPLE,0.5055147058823529,0.5085569449138222,0.5,0.7843866171003717,0.6107091172214182,0.5244339303818858,[[ 64 211]  [ 58 211]]
