Familia,Modelo,Horizonte,Sentimiento,Acc,B_Acc,Precision,Recall,F1,ROC_AUC,Conf_Matrix
DL,LSTM_32,1d,FULL,0.5308411214953271,0.5325348687704391,0.5174825174825175,0.8345864661654135,0.6388489208633094,0.547614389132683,"[[ 62 207]
 [ 44 222]]"
DL,LSTM_64,1d,FULL,0.5401869158878505,0.5419543281996814,0.5229357798165137,0.8571428571428571,0.6495726495726496,0.5503675545741677,"[[ 61 208]
 [ 38 228]]"
