Familia,Modelo,Horizonte,Sentimiento,Acc,B_Acc,Precision,Recall,F1,ROC_AUC,Conf_Matrix
ML,Dummy_MostFreq,5d,FULL,0.5569852941176471,0.5,0.5569852941176471,1.0,0.7154663518299882,0.5,[[  0 241]  [  0 303]]
ML,Logistic_Reg,5d,FULL,0.5661764705882353,0.525656300069841,0.5717344753747323,0.8811881188118812,0.6935064935064935,0.5570436711720964,[[ 41 200]  [ 36 267]]
ML,Random_Forest,5d,FULL,0.5294117647058824,0.4807663338948003,0.5467196819085487,0.9075907590759076,0.6823821339950372,0.462922640811799,[[ 13 228]  [ 28 275]]
ML,Hist_GB,5d,FULL,0.5294117647058824,0.48501157169658876,0.5486542443064182,0.8745874587458746,0.6743002544529262,0.46864686468646866,[[ 23 218]  [ 38 265]]
