Familia,Modelo,Horizonte,Sentimiento,Acc,B_Acc,Precision,Recall,F1,ROC_AUC,Conf_Matrix
ML,Dummy_MostFreq,5d,BASE,0.5569852941176471,0.5,0.5569852941176471,1.0,0.7154663518299882,0.5,[[  0 241]  [  0 303]]
ML,Logistic_Reg,5d,BASE,0.5275735294117647,0.5215685468961834,0.5761589403973509,0.5742574257425742,0.5752066115702479,0.5198225216712542,[[113 128]  [129 174]]
ML,Random_Forest,5d,BASE,0.5165441176470589,0.47303589280089836,0.5418410041841004,0.8547854785478548,0.6632522407170295,0.46441532120016976,[[ 22 219]  [ 44 259]]
ML,Hist_GB,5d,BASE,0.5459558823529411,0.5075044848883229,0.5614035087719298,0.8448844884488449,0.6745718050065876,0.50818235350506,[[ 41 200]  [ 47 256]]
