Familia,Modelo,Horizonte,Sentimiento,Acc,B_Acc,Precision,Recall,F1,ROC_AUC,Conf_Matrix
ML,Dummy_MostFreq,1d,BASE,0.4944852941176471,0.5,0.4944852941176471,1.0,0.6617466174661747,0.5,[[  0 275]  [  0 269]]
ML,Logistic_Reg,1d,BASE,0.4834558823529412,0.48377830348090567,0.4791666666666667,0.5130111524163569,0.4955116696588869,0.48233862791483617,[[125 150]  [131 138]]
ML,Random_Forest,1d,BASE,0.5128676470588235,0.5146535991889152,0.5055555555555555,0.6765799256505576,0.5786963434022258,0.5193646502196688,[[ 97 178]  [ 87 182]]
ML,Hist_GB,1d,BASE,0.49080882352941174,0.493808719161879,0.49047619047619045,0.7657992565055762,0.5979680696661829,0.5103075363298412,[[ 61 214]  [ 63 206]]
