Familia,Modelo,Horizonte,Sentimiento,Acc,B_Acc,Precision,Recall,F1,ROC_AUC,Conf_Matrix
ML,Dummy_MostFreq,5d,SIMPLE,0.5569852941176471,0.5,0.5569852941176471,1.0,0.7154663518299882,0.5,[[  0 241]  [  0 303]]
ML,Logistic_Reg,5d,SIMPLE,0.5680147058823529,0.5273064650863427,0.5726495726495726,0.8844884488448845,0.695201037613489,0.5655341467756734,[[ 41 200]  [ 35 268]]
ML,Random_Forest,5d,SIMPLE,0.5220588235294118,0.47501472138915135,0.5434343434343434,0.8877887788778878,0.6741854636591479,0.4573627487230051,[[ 15 226]  [ 34 269]]
ML,Hist_GB,5d,SIMPLE,0.5459558823529411,0.5007121044054613,0.5573770491803278,0.8976897689768977,0.6877370417193426,0.5070457253194198,[[ 25 216]  [ 31 272]]
