Date,Close,High,Low,Open,Volume,Return,Target_1d,Return_5d_forward,Target_5d,ret_lag_1,ret_lag_2,ret_lag_3,ret_lag_4,ret_lag_5,ret_ma_5,ret_std_5,ret_ma_10,ret_std_10,sentiment_mean,n_news,n_news_filled,has_news,sentiment_filled
2013-01-02,1462.4200439453125,1462.4300537109375,1426.18994140625,1426.18994140625,4202600000,0.0254034203209558,0,-0.0009573339888624,0,0.0169419413342162,-0.0110499415730723,-0.0012184420122794,-0.0047874601946967,-0.0024402965946211,0.0050579035750246,0.0154187935822273,0.0022856098527168,0.012202923256687,0.4709131717681885,4.0,4.0,1,0.4709131717681885
2013-01-03,1459.3699951171875,1465.469970703125,1455.530029296875,1462.4200439453125,3829730000,-0.002085617494613,1,0.0087366466644231,1,0.0254034203209558,0.0169419413342162,-0.0110499415730723,-0.0012184420122794,-0.0047874601946967,0.0055982721150414,0.0150299326083349,0.0009283824610956,0.0118144437622907,0.0,2.0,2.0,1,0.0
2013-01-04,1466.469970703125,1467.93994140625,1458.989990234375,1459.3699951171875,3424290000,0.0048650963153229,0,0.0038051090281272,1,-0.002085617494613,0.0254034203209558,0.0169419413342162,-0.0110499415730723,-0.0012184420122794,0.0068149797805619,0.0145796396079202,0.0021738121966027,0.0114681552702658,0.0,1.0,1.0,1,0.0
2013-01-07,1461.8900146484375,1466.469970703125,1456.6199951171875,1466.469970703125,3304970000,-0.0031231161538831,0,0.0060127909585687,1,0.0048650963153229,-0.002085617494613,0.0254034203209558,0.0169419413342162,-0.0110499415730723,0.0084003448643997,0.0124228316817542,0.0013126896319292,0.0115148446720584,0.0,2.0,2.0,1,0.0
2013-01-08,1457.1500244140625,1461.8900146484375,1451.6400146484375,1461.8900146484375,3601600000,-0.003242371304872,1,0.0104244183177761,1,-0.0031231161538831,0.0048650963153229,-0.002085617494613,0.0254034203209558,0.0169419413342162,0.0043634823365821,0.0122313088238272,0.0019263212642457,0.0110353091132054,0.2445761561393737,3.0,3.0,1,0.2445761561393737
2013-01-09,1461.02001953125,1464.72998046875,1457.1500244140625,1457.1500244140625,3674390000,0.0026558659385422,1,0.0079464929955492,1,-0.003242371304872,-0.0031231161538831,0.0048650963153229,-0.002085617494613,0.0254034203209558,-0.0001860285399005,0.0037137036592775,0.002435937517562,0.0109284044869115,0.0,3.0,3.0,1,0.0
2013-01-10,1472.1199951171875,1472.300048828125,1461.02001953125,1461.02001953125,4081840000,0.0075974151192663,0,0.005991322934487,1,0.0026558659385422,-0.003242371304872,-0.0031231161538831,0.0048650963153229,-0.002085617494613,0.0017505779828752,0.0048318659013365,0.0036744250489583,0.010718597983231,-0.331570823987325,3.0,3.0,1,-0.331570823987325
2013-01-11,1472.050048828125,1472.75,1467.5799560546875,1472.1199951171875,3340650000,-4.751398615232549e-05,0,0.0094629470320757,1,0.0075974151192663,0.0026558659385422,-0.003242371304872,-0.0031231161538831,0.0048650963153229,0.0007680559225802,0.0045302835078252,0.003791517851571,0.0106654721174505,0.0,2.0,2.0,1,0.0
2013-01-14,1470.6800537109375,1472.050048828125,1465.68994140625,1472.050048828125,3003010000,-0.0009306715612543,1,0.0148774744225319,1,-4.751398615232549e-05,0.0075974151192663,0.0026558659385422,-0.003242371304872,-0.0031231161538831,0.0012065448411059,0.0041496074188539,0.0048034448527528,0.0095193420164367,0.0,1.0,1.0,1,0.0
2013-01-15,1472.3399658203125,1473.31005859375,1463.760009765625,1470.6700439453125,3135350000,0.0011286697641588,1,0.0152614839609535,1,-0.0009306715612543,-4.751398615232549e-05,0.0075974151192663,0.0026558659385422,-0.003242371304872,0.0020807530549121,0.0033641111965371,0.0032221176957471,0.0085421554083231,-0.249435007572174,4.0,4.0,1,-0.249435007572174
2013-01-16,1472.6300048828125,1473.9599609375,1467.5999755859375,1472.3299560546875,3384080000,0.0001969919103148,1,0.0150682393626875,1,0.0011286697641588,-0.0009306715612543,-4.751398615232549e-05,0.0075974151192663,0.0026558659385422,0.0015889782492666,0.0034379341723738,0.000701474854683,0.0035011199434215,-0.2403827160596847,4.0,4.0,1,-0.2403827160596847
2013-01-17,1480.93994140625,1485.1600341796875,1472.6300048828125,1472.6300048828125,3706710000,0.0056429221840408,1,0.0148689483723023,1,0.0001969919103148,0.0011286697641588,-0.0009306715612543,-4.751398615232549e-05,0.0075974151192663,0.0011980796622215,0.0025906902928107,0.0014743288225484,0.0036666295924319,-0.199343454837799,5.0,5.0,1,-0.199343454837799
2013-01-18,1485.97998046875,1485.97998046875,1475.81005859375,1480.949951171875,3795740000,0.0034032703971196,1,0.0095560326712531,1,0.0056429221840408,0.0001969919103148,0.0011286697641588,-0.0009306715612543,-4.751398615232549e-05,0.0018882365388759,0.0026351700534073,0.001328146230728,0.0035434975035567,0.0,2.0,2.0,1,0.0
2013-01-22,1492.56005859375,1492.56005859375,1481.1600341796875,1485.97998046875,3570950000,0.0044281068463145,1,0.0102373818316958,1,0.0034032703971196,0.0056429221840408,0.0001969919103148,0.0011286697641588,-0.0009306715612543,0.0029599922203897,0.0022659369992809,0.0020832685307478,0.0032846662800398,0.25,4.0,4.0,1,0.25
2013-01-23,1494.81005859375,1496.1300048828125,1489.9000244140625,1492.56005859375,3552010000,0.001507477027169,1,0.0047831510783893,1,0.0044281068463145,0.0034032703971196,0.0056429221840408,0.0001969919103148,0.0011286697641588,0.0030357536729917,0.0021946093842744,0.0025582533639519,0.0027246668179632,-0.2308467477560043,4.0,4.0,1,-0.2308467477560043
2013-01-24,1494.8199462890625,1502.27001953125,1489.4599609375,1494.81005859375,3699430000,6.614683421224399e-06,1,0.0022009601026984,1,0.001507477027169,0.0044281068463145,0.0034032703971196,0.0056429221840408,0.0001969919103148,0.002997678227613,0.002256939707512,0.0022933282384398,0.002840456965196,0.5195820927619934,1.0,1.0,1,0.5195820927619934
2013-01-25,1502.9599609375,1503.260009765625,1494.8199462890625,1494.8199462890625,3476290000,0.0054454816907181,0,0.0067933167038221,1,6.614683421224399e-06,0.001507477027169,0.0044281068463145,0.0034032703971196,0.0056429221840408,0.0029581901289485,0.002200098692597,0.002078134895585,0.0024484329214926,0.0,6.0,6.0,1,0.0
2013-01-28,1500.1800537109375,1503.22998046875,1496.3299560546875,1502.9599609375,3388540000,-0.00184962161256,1,-0.0029797041777618,0,0.0054454816907181,6.614683421224399e-06,0.001507477027169,0.0044281068463145,0.0034032703971196,0.0019076117270125,0.0030315062028746,0.0018979241329442,0.0026778420575897,0.0,2.0,2.0,1,0.0
2013-01-29,1507.8399658203125,1509.3499755859375,1498.0899658203125,1500.1800537109375,3949640000,0.0051059951706642,0,0.0022880897975869,1,-0.00184962161256,0.0054454816907181,6.614683421224399e-06,0.001507477027169,0.0044281068463145,0.0020431893918825,0.0031837467676627,0.0025015908061361,0.0026496157882304,-0.2189223021268844,4.0,4.0,1,-0.2189223021268844
2013-01-30,1501.9599609375,1509.93994140625,1500.1099853515625,1507.8399658203125,3726810000,-0.0038996213232838,0,0.0067645173266441,1,0.0051059951706642,-0.00184962161256,0.0054454816907181,6.614683421224399e-06,0.001507477027169,0.0009617697217919,0.0041751539752057,0.0019987616973918,0.0033291041143808,0.0,1.0,1.0,1,0.0
2013-01-31,1498.1099853515625,1504.18994140625,1496.760009765625,1501.9599609375,3999880000,-0.0025633010773032,1,0.0075295067833274,1,-0.0038996213232838,0.0051059951706642,-0.00184962161256,0.0054454816907181,6.614683421224399e-06,0.000447786569647,0.0044699147769999,0.00172273239863,0.0035986190020366,0.3317830761273702,3.0,3.0,1,0.3317830761273702
2013-02-01,1513.1700439453125,1514.4100341796875,1498.1099853515625,1498.1099853515625,3836320000,0.0100527055696888,0,0.0031457203271181,1,-0.0025633010773032,-0.0038996213232838,0.0051059951706642,-0.00184962161256,0.0054454816907181,0.0013692313454411,0.0059781427415746,0.0021637107371948,0.0043285418974581,0.4964395463466644,4.0,4.0,1,0.4964395463466644
2013-02-04,1495.7099609375,1513.1700439453125,1495.02001953125,1513.1700439453125,3390000000,-0.0115387448209643,1,0.0142407615008288,1,0.0100527055696888,-0.0025633010773032,-0.0038996213232838,0.0051059951706642,-0.00184962161256,-0.0005685932962396,0.0083730486561392,0.0006695092153864,0.0060783849546983,0.3333245515823364,3.0,3.0,1,0.3333245515823364
